Node,Rank
Glaucocystophyceae,class
Cyanophoraceae,family
Cyanophora,genus
Cyanophora paradoxa,species
Cyanophora tetracyanea,species
Cyanophora biloba,species
Cyanophora cuspidata,species
Cyanophora kugrensii,species
Cyanophora sudae,species
Glaucocystales,order
Glaucocystaceae,family
Glaucocystis,genus
Glaucocystis nostochinearum,species
Glaucocystis oocystiformis,species
Glaucocystis bhattacharyae,species
Glaucocystis geitleri,species
Glaucocystis incrassata,species
Glaucocystis miyajii,species
Glaucocystis cf. nostochinearum,species
unclassified Glaucocystis,no rank
Glaucocystis sp. ARP-2014,species
Glaucocystis sp. BC-2016,species
Glaucocystis sp. BBH,species
Gloeochaetales,order
Gloeochaetaceae,family
Gloeochaete,genus
Gloeochaete wittrockiana,species
Cyanoptyche,genus
Cyanoptyche gloeocystis,species
environmental samples,no rank
uncultured glaucocystophycean,species
uncultured Cyanophora,species
unclassified Glaucocystophyceae,no rank
Glaucocystophyceae sp.,species